Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,salary_float,salary_ratio,Salary_Rank
Brook Lopez,56,56,27.4,4.3,8.9,0.483,1.5,4.4,0.348,2.8,4.5,0.613,1.6,1.8,0.854,1.4,3.6,5.1,0.7,0.6,1.4,0.9,2.1,11.7,NBA,  MIL,C,32,13000000,0.00176,78
Joe Ingles,54,17,27.2,4.2,8,0.525,2.9,5.8,0.494,1.4,2.2,0.608,1.1,1.3,0.857,0.4,3.3,3.7,4.4,0.7,0.2,1.6,1.9,12.4,NBA,  UTH,F,32,13000000,0.00176,79
Marcus Smart,38,35,32.6,4.3,10.4,0.411,2.1,5.8,0.355,2.2,4.7,0.48,2.8,3.6,0.788,0.7,2.7,3.3,5.6,1.5,0.5,1.8,2.5,13.5,NBA,  BOS,G,26,12999975,0.00176,80
Jordan Clarkson,55,1,26,6.4,15.1,0.424,3,8.7,0.35,3.4,6.4,0.524,1.7,1.8,0.949,0.7,3.2,4,2.1,0.9,0.1,1.7,1.5,17.5,NBA,  UTH,G,28,12880000,0.00174,81
Marvin Bagley III,37,37,25.7,5.6,11.2,0.502,0.9,2.6,0.354,4.7,8.6,0.547,1.6,2.9,0.56,2.5,5,7.4,0.9,0.5,0.5,1.3,2.4,13.9,NBA,  SAC,F,21,12724946,0.00172,82
Taurean Prince,41,10,22.1,3.2,8,0.401,1.5,3.8,0.4,1.7,4.2,0.401,1.6,1.9,0.855,0.5,3,3.5,1.9,0.7,0.6,1.1,1.8,9.5,NBA,  CLE,F,26,12625000,0.00171,83
Trevor Ariza,18,15,26.6,2.8,7.2,0.385,1.5,4.1,0.365,1.3,3.1,0.411,1.2,1.6,0.75,0.7,3.5,4.2,1.7,0.7,0.6,0.7,1.6,8.2,NBA,  MIA,F,35,12500000,0.00169,84
Kelly Olynyk,58,50,27.8,4.5,9.3,0.481,1.8,5.4,0.339,2.7,3.9,0.675,1.2,1.4,0.807,1.1,5.4,6.5,2.2,0.9,0.6,1.5,2.8,11.9,NBA,  HOU,F,29,12500000,0.00169,85
Cory Joseph,58,8,22.6,3,6.4,0.463,0.7,2.1,0.336,2.3,4.4,0.522,1.2,1.4,0.807,0.6,1.9,2.5,3.2,1,0.3,1.2,2.2,7.8,NBA,  DET,G,29,12400000,0.00168,86
DeWanna Bonner,22,22,732,6.7,16,0.422,1.2,4.9,0.252,5.5,11.1,0.496,5,5.6,0.895,1.5,6.3,7.8,3,1.7,0.5,2.4,2.1,19.7,WNBA,  CON,F,33,224870,0.00375,87
Skylar Diggins-Smith,22,22,675,5.8,12.2,0.474,2.1,5.3,0.397,3.7,6.9,0.533,4.1,4.5,0.9,0.5,2.8,3.3,4.2,0.9,0.5,3.2,2.3,17.7,WNBA,  PHX,G,30,224870,0.00375,88
Diana Taurasi,19,19,533,5.1,12.4,0.409,3.2,8.8,0.365,1.8,3.6,0.515,5.4,5.9,0.912,0.1,4.1,4.2,4.5,1,0.4,2.3,2.7,18.7,WNBA,  PHX,G,38,224772,0.00375,89
Natasha Howard,22,22,463,4,7.5,0.53,0.3,0.9,0.35,3.6,6.5,0.556,1.3,1.6,0.778,2.4,4.7,7.1,1,1.7,0.6,2.1,3,9.5,WNBA,  NY,F,29,224675,0.00374,90
Brittney Griner,12,12,382,7.3,14.6,0.497,0,0.1,0,7.3,14.5,0.5,3.2,3.9,0.809,1.5,6,7.5,3,0.3,1.8,2.5,2.5,17.7,WNBA,  PHX,C,30,221515,0.00369,91
Sue Bird,11,11,257,3.7,7.5,0.494,2.1,4.5,0.469,1.6,3.1,0.529,0.3,0.4,0.75,0.1,1.6,1.7,5.2,0.6,0.2,1.6,0.8,9.8,WNBA,  SEA,G,40,221450,0.00369,92
Alyssa Thomas,21,21,689,5.8,11.6,0.5,0,0,0,5.8,11.6,0.502,3.9,5.6,0.686,1.9,7.1,9,4.8,2,0.3,2.5,2.8,15.5,WNBA,  CON,F,29,209000,0.00348,93
Courtney Vandersloot,22,22,693,4.9,9.9,0.491,1.4,3.5,0.395,3.5,6.5,0.542,2.5,2.9,0.889,0.5,3,3.5,10,1.2,0.4,2.5,2.1,13.6,WNBA,  CHI,G,32,203000,0.00338,94
Allie Quigley,22,22,631,5.9,13.1,0.448,2.1,6,0.346,3.8,7,0.535,1.5,1.7,0.919,0.3,2.6,2.9,2.4,0.6,0.3,1.3,1.4,15.4,WNBA,  CHI,G,34,197000,0.00328,95
Kayla McBride,22,22,587,4.1,9.6,0.425,1.1,3.3,0.342,3,6.3,0.468,3.2,3.5,0.897,0.4,1.9,2.3,2.4,1.2,0.1,1.4,1.4,12.5,WNBA,  MIN,G,28,196267,0.00327,96
Aerial Powers,6,6,179,5.3,11.5,0.464,1.5,4.3,0.346,3.8,7.2,0.535,4.2,5,0.833,0.3,4.5,4.8,2.5,1.5,0,1.8,2.7,16.3,WNBA,  MIN,F,27,196267,0.00327,97
Betnijah Laney,22,22,738,6.5,13.5,0.481,1.4,3.4,0.405,5.1,10.1,0.507,2.8,3.4,0.827,1.1,3.8,4.9,4,1.6,0.1,3,2.5,17.2,WNBA,  NY,G,27,196267,0.00327,98
Nneka Ogwumike,18,18,476,5.3,9.3,0.569,0.5,1,0.5,4.8,8.3,0.577,2.3,2.7,0.837,1.2,3.6,4.8,1.7,1.1,0.2,1.6,2.3,13.3,WNBA,  LA,F,30,193409,0.00322,99
Chelsea Gray,22,22,679,5.5,12.5,0.442,0.8,2.7,0.305,4.7,9.9,0.479,2.1,2.2,0.939,0.7,3,3.7,5.3,1.5,0.1,2.7,1.7,14,WNBA,  LV,G,28,193409,0.00322,100
